"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY 200","14,100.90","14,101.60","13,872.20","14,063.90","13,889.10","-","-174.80","-1.24","1,82,59,06,149","68,553.08","14,700.95","11,941.45","-4.60","7.69"
"HINDZINC","695.00","710.00","688.05","668.25","697.00","-","28.75","4.30","3,24,27,217","2,274.80","710.00","378.15","14.58","48.87"
"NATIONALUM","366.85","382.65","365.40","364.60","371.50","-","6.90","1.89","2,29,54,119","863.67","382.65","137.75","27.74","82.19"
"DRREDDY","1,230.00","1,250.80","1,225.00","1,217.50","1,238.40","-","20.90","1.72","38,88,860","482.17","1,379.70","1,020.00","-3.73","-4.68"
"VOLTAS","1,298.00","1,363.00","1,295.00","1,293.50","1,315.40","-","21.90","1.69","16,39,531","218.78","1,531.95","1,135.00","-5.07","-11.54"
"ASHOKLEY","192.00","199.21","190.00","190.28","193.07","-","2.79","1.47","3,24,67,563","635.10","199.21","95.93","8.44","-6.69"
"APLAPOLLO","2,000.00","2,070.60","1,991.60","1,976.00","1,997.80","-","21.80","1.10","21,86,960","444.80","2,070.60","1,272.70","7.08","28.25"
"VEDL","685.00","699.00","681.45","678.65","685.15","-","6.50","0.96","2,14,35,331","1,480.65","699.00","363.00","16.67","51.53"
"ONGC","245.30","246.30","241.55","244.01","246.10","-","2.09","0.86","80,80,247","197.92","266.39","205.00","4.24","-7.04"
"TECHM","1,699.00","1,709.70","1,689.20","1,687.40","1,700.70","-","13.30","0.79","18,31,521","311.76","1,736.40","1,209.40","4.17","1.02"
"HINDALCO","955.00","963.90","948.50","944.45","951.00","-","6.55","0.69","59,58,887","569.24","970.80","546.45","10.01","54.91"
"BLUESTARCO","1,709.30","1,745.00","1,690.60","1,709.30","1,721.10","-","11.80","0.69","3,46,663","59.48","2,269.80","1,521.00","-3.87","-9.65"
"HINDUNILVR","2,400.00","2,434.30","2,376.80","2,390.60","2,406.00","-","15.40","0.64","13,78,097","333.03","2,750.00","2,136.00","4.64","2.84"
"VMM","123.56","125.20","122.50","124.22","125.01","-","0.79","0.64","54,64,470","68.02","157.60","95.99","-8.92","18.67"
"TATATECH","653.00","663.95","649.10","652.15","656.00","-","3.85","0.59","11,75,442","77.25","818.50","597.00","-0.87","-17.69"
"360ONE","1,109.90","1,134.10","1,100.20","1,106.30","1,112.60","-","6.30","0.57","14,76,232","165.21","1,273.80","790.50","-5.87","-3.19"
"BAJAJ-AUTO","9,390.00","9,548.00","9,335.00","9,370.00","9,422.00","-","52.00","0.55","2,04,212","192.83","9,888.00","7,089.35","3.46","11.26"
"OFSS","7,882.50","8,044.00","7,845.00","7,897.00","7,940.00","-","43.00","0.54","1,74,884","139.56","10,230.00","7,038.00","1.78","-17.07"
"FORTIS","851.95","864.45","839.30","841.45","845.95","-","4.50","0.53","23,32,499","198.99","1,104.30","577.00","-6.39","34.05"
"INFY","1,667.20","1,675.70","1,662.20","1,663.50","1,672.00","-","8.50","0.51","58,69,137","979.45","1,924.00","1,307.00","0.15","-10.00"
"UNITDSPR","1,354.00","1,357.50","1,327.00","1,338.40","1,342.00","-","3.60","0.27","13,98,884","188.39","1,645.00","1,271.10","-7.55","-8.62"
"SUPREMEIND","3,487.10","3,510.00","3,438.60","3,487.80","3,497.00","-","9.20","0.26","3,60,984","126.08","4,739.00","3,095.00","4.11","-10.18"
"PIIND","3,170.00","3,190.80","3,144.20","3,170.40","3,178.60","-","8.20","0.26","1,72,534","54.77","4,330.00","2,951.10","-1.95","-9.29"
"APOLLOHOSP","6,810.00","6,836.00","6,696.50","6,797.00","6,813.00","-","16.00","0.24","4,58,099","311.13","8,099.50","6,001.00","-3.82","-1.30"
"KPITTECH","1,114.00","1,123.00","1,097.00","1,109.20","1,111.90","-","2.70","0.24","7,49,846","83.50","1,479.00","1,020.60","-9.40","-13.95"
"TCS","3,190.30","3,194.50","3,152.00","3,150.40","3,157.00","-","6.60","0.21","20,68,857","657.19","4,191.35","2,866.60","-4.46","-23.92"
"HCLTECH","1,712.70","1,721.00","1,698.80","1,703.10","1,706.60","-","3.50","0.21","18,74,357","320.52","1,831.45","1,302.75","1.61","-6.60"
"PAGEIND","33,000.00","33,000.00","32,480.00","32,875.00","32,945.00","-","70.00","0.21","25,720","84.21","50,590.00","31,740.00","-10.41","-28.64"
"TATACOMM","1,556.00","1,584.00","1,541.00","1,547.90","1,550.00","-","2.10","0.14","6,17,465","96.51","2,004.00","1,291.00","-13.02","-7.02"
"M&MFIN","362.20","368.75","357.45","360.45","360.80","-","0.35","0.10","22,49,442","81.87","412.20","231.02","485.47","7.18"
"ICICIBANK","1,340.50","1,355.20","1,335.70","1,345.50","1,346.00","-","0.50","0.04","1,40,56,524","1,891.08","1,500.00","1,186.00","-1.44","11.91"
"TITAN","4,025.10","4,063.30","3,980.00","4,018.60","4,020.20","-","1.60","0.04","10,15,415","409.95","4,312.10","2,925.00","2.45","19.82"
"ASIANPAINT","2,703.80","2,782.90","2,690.80","2,703.80","2,704.40","-","0.60","0.02","17,86,635","490.11","2,985.70","2,124.75","-3.71","19.52"
"UPL","701.00","711.50","697.65","700.50","700.20","-","-0.30","-0.04","38,08,963","268.37","812.20","531.60","-10.04","29.45"
"SHRIRAMFIN","1,010.00","1,020.85","973.65","1,005.50","1,005.00","-","-0.50","-0.05","90,23,942","905.99","1,025.60","508.15","4.78","93.49"
"SUNPHARMA","1,640.00","1,648.90","1,625.40","1,634.20","1,633.00","-","-1.20","-0.07","16,78,658","274.37","1,851.20","1,548.00","-7.06","-9.29"
"LTF","289.00","295.30","285.30","287.30","287.00","-","-0.30","-0.10","65,02,459","189.56","329.45","131.05","-5.11","106.64"
"OIL","437.00","440.50","427.10","436.45","436.00","-","-0.45","-0.10","18,88,918","82.30","491.50","325.00","6.20","-4.10"
"ULTRACEMCO","12,375.00","12,554.00","12,283.00","12,364.00","12,346.00","-","-18.00","-0.15","3,56,421","443.38","13,097.00","10,047.85","5.92","15.67"
"POLICYBZR","1,714.60","1,722.00","1,632.10","1,714.60","1,712.00","-","-2.60","-0.15","14,52,236","242.79","1,978.00","1,311.35","-12.54","3.92"
"ALKEM","5,785.00","5,811.50","5,724.00","5,758.50","5,749.00","-","-9.50","-0.16","77,302","44.66","5,933.50","4,491.65","2.74","11.63"
"PIDILITIND","1,445.00","1,463.00","1,440.80","1,452.80","1,449.70","-","-3.10","-0.21","12,12,874","175.65","1,574.95","1,311.10","-0.97","-47.44"
"BAJAJHLDNG","10,767.00","10,785.00","10,596.00","10,735.00","10,711.00","-","-24.00","-0.22","1,31,490","140.73","14,763.00","10,400.00","-5.42","-5.48"
"GODREJCP","1,253.50","1,256.40","1,235.60","1,246.00","1,242.70","-","-3.30","-0.26","8,63,131","107.29","1,309.00","979.50","3.67","7.58"
"ZYDUSLIFE","886.50","897.15","880.00","885.30","883.00","-","-2.30","-0.26","4,60,331","40.82","1,059.05","795.00","-4.94","-9.86"
"HDFCBANK","920.00","926.10","909.25","918.70","915.80","-","-2.90","-0.32","3,09,85,247","2,839.64","1,020.50","812.73","-8.08","-45.01"
"KOTAKBANK","429.00","429.80","420.40","426.00","424.20","-","-1.80","-0.42","1,05,48,118","447.53","460.38","372.55","-80.45","-77.95"
"INDUSINDBK","900.05","914.60","888.25","902.45","898.00","-","-4.45","-0.49","59,07,525","535.03","1,086.55","606.00","5.01","-8.08"
"SRF","2,757.00","2,757.00","2,701.00","2,735.90","2,722.00","-","-13.90","-0.51","4,06,215","110.33","3,325.00","2,487.00","-12.79","7.55"
"M&M","3,573.70","3,596.00","3,534.80","3,573.70","3,555.00","-","-18.70","-0.52","19,22,549","684.62","3,839.90","2,425.00","-2.25","25.37"
"ITC","325.55","326.40","322.70","324.85","323.00","-","-1.85","-0.57","1,19,50,089","387.76","471.50","321.05","-20.61","-26.00"
"BHARTIHEXA","1,619.80","1,624.50","1,591.00","1,624.60","1,615.00","-","-9.60","-0.59","81,756","13.17","2,052.90","1,234.00","-10.61","27.31"
"HYUNDAI","2,278.00","2,289.50","2,241.00","2,277.80","2,264.10","-","-13.70","-0.60","5,69,772","128.53","2,890.00","1,541.70","-2.22","32.93"
"COCHINSHIP","1,499.00","1,504.00","1,474.00","1,498.20","1,488.90","-","-9.30","-0.62","4,44,823","66.09","2,545.00","1,180.20","-9.62","1.80"
"TVSMOTOR","3,570.10","3,613.00","3,536.20","3,570.10","3,547.30","-","-22.80","-0.64","6,18,661","220.57","3,909.00","2,192.75","-3.71","56.16"
"TMPV","347.10","351.00","342.15","347.30","345.00","-","-2.30","-0.66","83,54,700","289.11","765.45","335.95","-5.18","-"
"BHARTIARTL","2,009.00","2,011.70","1,980.10","2,002.20","1,988.00","-","-14.20","-0.71","43,40,925","865.61","2,174.50","1,559.50","-6.51","21.63"
"MAXHEALTH","1,000.00","1,007.20","987.40","998.80","991.40","-","-7.40","-0.74","23,00,849","229.29","1,314.30","940.05","-7.79","-7.03"
"KEI","3,859.00","3,945.00","3,789.10","3,848.40","3,820.00","-","-28.40","-0.74","4,90,458","189.52","4,587.30","2,424.00","-13.66","-7.76"
"GRASIM","2,789.90","2,805.00","2,752.50","2,787.60","2,766.00","-","-21.60","-0.77","6,06,097","168.00","2,977.80","2,301.65","-2.50","15.53"
"TATASTEEL","190.50","192.40","187.27","189.10","187.60","-","-1.50","-0.79","2,84,92,706","540.82","192.40","124.74","9.78","45.52"
"NESTLEIND","1,310.00","1,311.90","1,290.30","1,306.00","1,295.40","-","-10.60","-0.81","7,44,221","96.59","1,332.70","1,055.00","2.97","-41.40"
"SBILIFE","2,022.00","2,022.00","1,986.30","2,022.00","2,005.20","-","-16.80","-0.83","11,28,576","225.74","2,109.60","1,372.55","-1.10","37.16"
